,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier
39,False,False,False,True,False,True,True,False,0.004574042309891367,0.9002375296912113,0.9218094438935084,49228,196912,0.25,0.9218094438935084,0.89566348738132,0.917235401583617
41,False,False,False,True,False,True,False,False,0.005320108205590622,0.7124698956382125,0.761684147309268,80853,323412,0.25,0.761684147309268,0.7071497874326219,0.7563640391036774
35,False,False,True,False,False,False,False,False,0.0,0.2843631289247228,0.47768225179601925,161706,323412,0.5,0.47768225179601925,0.2843631289247228,0.47768225179601925
10,False,True,False,True,True,False,False,True,0.16662983425414363,0.60570987654321,0.6256473680142228,31625,63250,0.5,0.6256473680142228,0.43908004228906633,0.4590175337600792
27,False,False,True,False,True,False,True,False,0.4668817109274888,0.6154133582438113,0.9080052545678913,49228,196912,0.25,0.9080052545678913,0.14853164731632246,0.44112354364040246
0,False,True,True,False,True,False,True,False,0.471024288143723,0.60633652327418,0.9080546809613008,49228,98456,0.5,0.9080546809613008,0.13531223513045698,0.43703039281757783
2,False,True,True,False,True,False,False,False,0.313596564795867,0.49398989423469225,0.7276495630741654,80853,161706,0.5,0.7276495630741654,0.18039332943882525,0.4140529982782984
29,False,False,True,False,True,False,False,False,0.31768977569649465,0.5009313926688347,0.729395058222096,80853,323412,0.25,0.729395058222096,0.18324161697234004,0.4117052825256014
30,False,False,True,False,False,True,True,False,0.0001566170712607674,0.3760674462877346,0.3986697771380355,49228,196912,0.25,0.3986697771380355,0.37591082921647384,0.39851316006677473
37,False,False,False,True,True,False,False,True,0.1502851392150285,0.5422745358090186,0.5472505762265394,31625,126500,0.25,0.5472505762265394,0.3919893965939901,0.3969654370115109
33,False,False,True,False,False,False,True,False,0.267677456300619,0.4280179000218293,0.6494082840236686,98456,196912,0.5,0.6494082840236686,0.1603404437212103,0.38173082772304956
42,False,False,False,True,False,False,True,False,0.5870158974718117,0.925285890822071,0.9202492579269131,98456,196912,0.5,0.925285890822071,0.3382699933502593,0.33323336045510143
43,False,False,False,True,False,False,False,True,0.06742640075973409,0.3534741761648147,0.3764957861898776,63250,126500,0.5,0.3764957861898776,0.2860477754050806,0.3090693854301435
31,False,False,True,False,False,True,False,True,0.0403245635603639,0.25060956217534186,0.33568460720842597,31625,126500,0.25,0.33568460720842597,0.21028499861497796,0.29536004364806207
34,False,False,True,False,False,False,False,True,0.1543257989088075,0.340892393593574,0.43177024904644384,63250,126500,0.5,0.43177024904644384,0.1865665946847665,0.27744445013763636
6,False,True,True,False,False,False,True,False,0.682626042800145,0.8129823357914594,0.9486743371685844,98456,98456,1.0,0.9486743371685844,0.13035629299131435,0.26604829436843935
8,False,True,True,False,False,False,False,False,0.6391292126058031,0.774686276408816,0.8651528771120752,161706,161706,1.0,0.8651528771120752,0.1355570638030129,0.2260236645062721
44,False,False,False,True,False,False,False,False,0.49913461944362364,0.7066584305544225,0.7120253164556962,161706,323412,0.5,0.7120253164556962,0.20752381111079882,0.21289069701207258
18,False,True,False,False,True,False,True,False,0.7753314767134325,0.8235106340529109,0.9504138777773377,98456,98456,1.0,0.9504138777773377,0.04817915733947842,0.17508240106390516
45,False,False,False,False,True,False,True,False,0.7747068971587509,0.8246271664651349,0.9487825356842989,98456,196912,0.5,0.9487825356842989,0.049920269306384046,0.17407563852554808
28,False,False,True,False,True,False,False,True,0.37169811320754725,0.47925128024015534,0.5407401329285304,31625,126500,0.25,0.5407401329285304,0.10755316703260809,0.16904201972098315
1,False,True,True,False,True,False,False,True,0.3763026945826683,0.4752369983166475,0.5412486526821988,31625,63250,0.5,0.5412486526821988,0.09893430373397921,0.1649459580995305
40,False,False,False,True,False,True,False,True,0.02956627978008552,0.0007515030060120239,0.19062866901483616,31625,126500,0.25,0.19062866901483616,-0.028814776774073497,0.16106238923475064
19,False,True,False,False,True,False,False,True,0.5351045961215453,0.6743449467319321,0.6797299002902941,63250,63250,1.0,0.6797299002902941,0.13924035061038686,0.14462530416874886
24,False,True,False,False,False,False,True,False,0.836774847079908,0.9109086869584536,0.9726439487690279,196912,98456,2.0,0.9726439487690279,0.0741338398785456,0.13586910168911992
46,False,False,False,False,True,False,False,True,0.5263554453269708,0.6638591117917304,0.6621625907951915,63250,126500,0.5,0.6638591117917304,0.13750366646475964,0.1358071454682207
52,False,False,False,False,False,False,False,True,0.4973100684854967,0.636826136259156,0.6263604473360718,126500,126500,1.0,0.636826136259156,0.13951606777365927,0.12905037885057508
49,False,False,False,False,False,True,False,True,0.45459288372578344,0.5949344133470351,0.5815428688356865,63250,126500,0.5,0.5949344133470351,0.14034152962125168,0.12694998510990307
32,False,False,True,False,False,True,False,False,0.0001892147587511826,0.1342787502769776,0.12588621822583435,80853,323412,0.25,0.1342787502769776,0.13408953551822642,0.12569700346708315
16,False,True,False,True,False,False,False,True,0.6898501554990104,0.8029710711493355,0.8033804022250749,63250,63250,1.0,0.8033804022250749,0.11312091565032512,0.11353024672606449
51,False,False,False,False,False,False,True,False,0.7360739869560569,0.7857810843949375,0.8402974432107568,196912,196912,1.0,0.8402974432107568,0.04970709743888069,0.10422345625469998
9,False,True,False,True,True,False,True,False,0.8871966771114187,0.9536747615612727,0.9824136818328493,49228,98456,0.5,0.9824136818328493,0.06647808444985404,0.09521700472143058
36,False,False,False,True,True,False,True,False,0.8868887990889387,0.9512313282196204,0.979644797664423,49228,196912,0.25,0.979644797664423,0.06434252913068172,0.09275599857548433
25,False,True,False,False,False,False,False,True,0.7453669925580039,0.8334763948497854,0.8316991396761133,126500,63250,2.0,0.8334763948497854,0.08810940229178155,0.08633214711810944
47,False,False,False,False,True,False,False,False,0.727297425796373,0.7255527593025346,0.8114883318160623,161706,323412,0.5,0.8114883318160623,-0.0017446664938384204,0.08419090601968926
20,False,True,False,False,True,False,False,False,0.7276855895196507,0.7262493259032896,0.8099662255689053,161706,161706,1.0,0.8099662255689053,-0.0014362636163610665,0.08228063604925462
26,False,True,False,False,False,False,False,False,0.8158027685157118,0.8542676855457817,0.8977143593528509,323412,161706,2.0,0.8977143593528509,0.038464917030069934,0.08191159083713917
48,False,False,False,False,False,True,True,False,0.6989090426766588,0.7817341227999026,0.7762139054686239,98456,196912,0.5,0.7817341227999026,0.08282508012324385,0.07730486279196513
7,False,True,True,False,False,False,False,True,0.7311695794123295,0.7826151893062505,0.8023749550197913,63250,63250,1.0,0.8023749550197913,0.051445609893920996,0.07120537560746176
15,False,True,False,True,False,False,True,False,0.9426477586370992,0.9754801063128234,0.9905669824357615,98456,98456,1.0,0.9905669824357615,0.032832347675724294,0.047919223798662314
53,False,False,False,False,False,False,False,False,0.6837153863074806,0.686916430529103,0.7285390475433026,323412,323412,1.0,0.7285390475433026,0.0032010442216223733,0.04482366123582193
11,False,True,False,True,True,False,False,False,0.7133958346441829,0.732668340458257,0.7576308058041221,80853,161706,0.5,0.7576308058041221,0.019272505814074137,0.04423497115993924
38,False,False,False,True,True,False,False,False,0.7128584566507817,0.7308854707023321,0.7567036549152694,80853,323412,0.25,0.7567036549152694,0.018027014051550383,0.04384519826448763
50,False,False,False,False,False,True,False,False,0.6473146314521988,0.6851192920031022,0.6759583481625202,161706,323412,0.5,0.6851192920031022,0.03780466055090337,0.0286437167103214
17,False,True,False,True,False,False,False,False,0.8443695120847289,0.8585099111414902,0.871336021916262,161706,161706,1.0,0.871336021916262,0.014140399056761344,0.026966509831533148
3,False,True,True,False,False,True,True,False,0.9786273086539237,0.9969550566359465,0.9986582638747713,49228,98456,0.5,0.9986582638747713,0.018327747982022857,0.020030955220847635
5,False,True,True,False,False,True,False,False,0.9861258286305725,0.9979219237049131,0.9992814489952674,80853,161706,0.5,0.9992814489952674,0.01179609507434054,0.013155620364694864
21,False,True,False,False,False,True,True,False,0.9890259805396729,0.9986119213824458,0.9993357086780603,98456,98456,1.0,0.9993357086780603,0.009585940842772867,0.010309728138387375
23,False,True,False,False,False,True,False,False,0.9924119241192412,0.9989139288623404,0.9995307367433132,161706,161706,1.0,0.9995307367433132,0.0065020047430992545,0.007118812624071991
12,False,True,False,True,False,True,True,False,0.9975437890074492,0.9992739593417231,0.9997578692493946,49228,98456,0.5,0.9997578692493946,0.0017301703342739172,0.00221408024194536
14,False,True,False,True,False,True,False,False,0.9986560781918142,0.999584219923203,0.9999021382786123,80853,161706,0.5,0.9999021382786123,0.0009281417313887763,0.001246060086798062
13,False,True,False,True,False,True,False,True,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0
22,False,True,False,False,False,True,False,True,1.0,1.0,1.0,63250,63250,1.0,1.0,0.0,0.0
4,False,True,True,False,False,True,False,True,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0
