,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-only-f1_score,fourier-only-f1_score,baseline-and-advanced-f1_score,baseline-and-fourier-f1_score,advanced-and-fourier-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
1,False,True,True,False,True,False,False,True,0.37917448405253285,0.46294602012808783,0.0,0.47999288635959453,0.40372375795573284,0.5477081773562932,0.47999288635959453,0.5511147811725846,31625,63250,0.5,0.5511147811725846,0.10081840230706168,0.17194029712005177,0.6208255159474672,0.07112189481299008,27.69543014958827
28,False,False,True,False,True,False,False,True,0.3698916555787873,0.4508121920058405,0.0,0.47148558758314857,0.40750872559192525,0.5308009909165978,0.47148558758314857,0.5391047712739793,31625,126500,0.25,0.5391047712739793,0.10159393200436129,0.16921311569519198,0.6301083444212128,0.0676191836908307,26.854606385291248
40,False,False,False,True,False,True,False,True,0.025430981782614014,0.0,0.0,0.0015024414673844998,0.025195694716242664,0.1673228346456693,0.0015024414673844998,0.1944860012823253,31625,126500,0.25,0.1944860012823253,-0.023928540315229514,0.16905501949971127,0.974569018217386,0.19298355981494078,17.34664414111327
46,False,False,False,False,True,False,False,True,0.5197093151288261,0.6585171236155883,0.5498477157360406,0.6640377031836107,0.5722252865110008,0.6563573883161512,0.6640377031836107,0.6601384325858825,63250,126500,0.5,0.6640377031836107,0.14432838805478454,0.14042911745705633,0.4802906848711739,-0.0038992705977282105,29.238359576913922
19,False,True,False,False,True,False,False,True,0.5351188849412408,0.6693492174133452,0.5990417202290521,0.6730609374000895,0.5865457753978155,0.6732443047918303,0.6730609374000895,0.6743965025660521,63250,63250,1.0,0.6743965025660521,0.13794205245884872,0.13927761762481128,0.4648811150587592,0.00133556516596256,29.95983556079862
24,False,True,False,False,False,False,True,False,0.8375467479079395,0.9113188708359807,0.9587832973362131,0.9100274725274725,0.9635622677693875,0.9711556829035338,0.9100274725274725,0.9726316636168031,196912,98456,2.0,0.9726316636168031,0.07248072461953303,0.1350849157088636,0.16245325209206052,0.06260419108933057,83.15310033455805
32,False,False,True,False,False,True,False,False,0.00028378186633874097,0.13002627243175846,0.0,0.13436669619131972,0.0,0.11924968446707578,0.13436669619131972,0.1256549036588006,80853,323412,0.25,0.13436669619131972,0.13408291432498098,0.12537112179246188,0.9997162181336613,-0.008711792532519108,12.540670994266081
52,False,False,False,False,False,False,False,True,0.5040724694761717,0.6321085065064146,0.5855758589975437,0.6355196985581233,0.5939920437453436,0.6220340504473235,0.6355196985581233,0.625220748899997,126500,126500,1.0,0.6355196985581233,0.1314472290819516,0.12114827942382533,0.4959275305238283,-0.010298949658126277,24.428625548547643
16,False,True,False,True,False,False,False,True,0.6893771417053015,0.7816707634736031,0.6629707998307236,0.8071844384495244,0.7040683192978294,0.7887909044530281,0.8071844384495244,0.8061115464064393,63250,63250,1.0,0.8071844384495244,0.11780729674422286,0.11673440470113783,0.3106228582946985,-0.0010728920430850275,37.58075157185886
49,False,False,False,False,False,True,False,True,0.4847216686594925,0.5993286358000423,0.5785021884482157,0.6022529810054529,0.6016955909320436,0.5859917186679886,0.6022529810054529,0.5916714864083286,63250,126500,0.5,0.6022529810054529,0.11753131234596037,0.10694981774883605,0.5152783313405075,-0.010581494597124319,20.755737480868607
51,False,False,False,False,False,False,True,False,0.7352624985562357,0.7827283354195331,0.8038711005868423,0.783902012248469,0.8214928732183046,0.8380213582546907,0.783902012248469,0.8391989982387734,196912,196912,1.0,0.8391989982387734,0.048639513692233294,0.10393649968253771,0.2647375014437643,0.055296985990304415,39.260210251933636
36,False,False,False,True,True,False,True,False,0.8857499266216612,0.945169082125604,0.9550472559764911,0.950263783174258,0.9650282800924083,0.9790584415584416,0.950263783174258,0.9800625329922443,49228,196912,0.25,0.9800625329922443,0.06451385655259678,0.09431260637058314,0.11425007337833881,0.02979874981798636,82.54927422082889
9,False,True,False,True,True,False,True,False,0.8864447519848495,0.9462073375429622,0.9505286413129241,0.9498921122033085,0.9605907439583005,0.9796411040476382,0.9498921122033085,0.9806399678003623,49228,98456,0.5,0.9806399678003623,0.06344736021845898,0.09419521581551282,0.11355524801515049,0.03074785559705384,82.95100179160839
20,False,True,False,False,True,False,False,False,0.7262779367411647,0.7160264098913787,0.7836955346523948,0.7238246193686655,0.7855327891009353,0.8056495675448493,0.7238246193686655,0.8107168557985054,161706,161706,1.0,0.8107168557985054,-0.0024533173724992086,0.08443891905734069,0.2737220632588353,0.0868922364298399,30.848415378739166
47,False,False,False,False,True,False,False,False,0.7279232332267128,0.7169111410185364,0.768954150434522,0.723629736297363,0.7862323161146945,0.8061545970891018,0.723629736297363,0.8114896073903003,161706,323412,0.5,0.8114896073903003,-0.0042934969293497716,0.08356637416358748,0.2720767667732872,0.08785987109293725,30.714263167211424
25,False,True,False,False,False,False,False,True,0.74722155012501,0.8293511565511438,0.7892160600192135,0.8336064921632588,0.789885929195288,0.8271929546678494,0.8336064921632588,0.8301438061866786,126500,63250,2.0,0.8336064921632588,0.08638494203824876,0.08292225606166859,0.25277844987499,-0.003462685976580171,32.804321769785865
26,False,True,False,False,False,False,False,False,0.8162735265678757,0.8490675783151121,0.8807701945883574,0.8533696504477735,0.8843933992172892,0.8966626881040979,0.8533696504477735,0.898034211050099,323412,161706,2.0,0.898034211050099,0.0370961238798978,0.08176068448222329,0.18372647343212434,0.04466456060232549,44.501308360675004
48,False,False,False,False,False,True,True,False,0.6951047792595046,0.7800295588443706,0.7009470310755824,0.7807677488694665,0.7411783777941892,0.771960958296362,0.7807677488694665,0.7739100638945438,98456,196912,0.5,0.7807677488694665,0.08566296960996189,0.07880528463503911,0.30489522074049535,-0.006857684974922784,25.846677571280278
7,False,True,True,False,False,False,False,True,0.7319113020793371,0.7773205994488694,0.6714062037154584,0.7813877063260886,0.7618828756367536,0.7995663956639567,0.7813877063260886,0.802003026154622,63250,63250,1.0,0.802003026154622,0.04947640424675148,0.07009172407528497,0.2680886979206629,0.020615319828533485,26.14497538274725
15,False,True,False,True,False,False,True,False,0.9421163759487169,0.972668199540138,0.9693068716848443,0.9753846153846154,0.9806226175349428,0.9900082096874312,0.9753846153846154,0.9905673602627522,98456,98456,1.0,0.9905673602627522,0.03326823943589852,0.04845098431403527,0.05788362405128311,0.015182744878136756,83.70413067279476
53,False,False,False,False,False,False,False,False,0.6826448986272223,0.685332488619832,0.7175207177883896,0.6867831324599369,0.7346509316244739,0.7269823225146366,0.6867831324599369,0.7283580731905602,323412,323412,1.0,0.7346509316244739,0.004138233832714611,0.0457131745633379,0.31735510137277767,0.04157494073062329,14.40442405544993
11,False,True,False,True,True,False,False,False,0.7115384615384617,0.7135174551089235,0.6173483913827464,0.7303195458965603,0.6954801878947251,0.7412911797158235,0.7303195458965603,0.7555863734985572,80853,161706,0.5,0.7555863734985572,0.018781084358098665,0.0440479119600955,0.2884615384615383,0.025266827601996833,15.269942812833111
38,False,False,False,True,True,False,False,False,0.7136460643595429,0.7153112221717401,0.6161747650943173,0.732294649500575,0.6995864535598524,0.7430974008453998,0.732294649500575,0.7571202001474299,80853,323412,0.25,0.7571202001474299,0.01864858514103207,0.04347413578788695,0.2863539356404571,0.024825550646854877,15.181958540452053
50,False,False,False,False,False,True,False,False,0.6457056133554326,0.6885665334094803,0.6428209632399694,0.6844323930182746,0.6700427854041257,0.673698983113238,0.6844323930182746,0.6746170076139804,161706,323412,0.5,0.6885665334094803,0.03872677966284199,0.028911394258547718,0.35429438664456736,-0.009815385404294275,8.16027443515553
17,False,True,False,True,False,False,False,False,0.842970912171703,0.846378793953258,0.8025427872860637,0.8565451425616435,0.8390068081698038,0.8617101421979471,0.8565451425616435,0.869961567304087,161706,161706,1.0,0.869961567304087,0.013574230389940545,0.026990655132384078,0.15702908782829705,0.013416424742443533,17.188315557113164
3,False,True,True,False,False,True,True,False,0.9783116987825526,0.9963890128616057,0.98840038935756,0.9969553038606748,0.99634473235318,0.9980460799478955,0.9969553038606748,0.9990236758603857,49228,98456,0.5,0.9990236758603857,0.018643605078122127,0.02071197707783301,0.02168830121744736,0.002068371999710883,95.49838353024654
5,False,True,True,False,False,True,False,False,0.9866646947176415,0.996885505240261,0.9933244325767691,0.9978968204874428,0.9975744975744976,0.9984886400237853,0.9978968204874428,0.999132869211902,80853,161706,0.5,0.999132869211902,0.01123212576980126,0.01246817449426052,0.01333530528235849,0.00123604872445926,93.49748078699696
21,False,True,False,False,False,True,True,False,0.9889227805426232,0.997608568959627,0.9942124512680358,0.9984914616730696,0.9980687990343994,0.9988320109549317,0.9984914616730696,0.9992753039697239,98456,98456,1.0,0.9992753039697239,0.0095686811304464,0.01035252342710069,0.01107721945737683,0.0007838422966542913,93.45778032957963
23,False,True,False,False,False,True,False,False,0.9929642544697315,0.9986552672810491,0.9969779575927273,0.9989509928544102,0.9988521211073946,0.9995306787866811,0.9989509928544102,0.9996171941566541,161706,161706,1.0,0.9996171941566541,0.00598673838467878,0.006652939686922599,0.0070357455302685334,0.0006662013022438185,94.55912892672052
12,False,True,False,True,False,True,True,False,0.9976241291829421,0.9974233030034624,0.9991124737776343,0.9993948928960426,0.9997578692493946,0.9994352105857673,0.9993948928960426,0.999677185053668,49228,98456,0.5,0.9997578692493946,0.001770763713100476,0.002053055870725906,0.0023758708170579235,0.00028229215762543003,86.41277362328294
14,False,True,False,True,False,True,False,False,0.9983145655731699,0.99858287724785,0.9989978245459656,0.9996575677526661,0.9998042957091835,0.9996331172801761,0.9996575677526661,0.9998532146002543,80853,161706,0.5,0.9998532146002543,0.0013430021794962332,0.0015386490270844488,0.0016854344268301125,0.0001956468475882156,91.2909456808871
13,False,True,False,True,False,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0,0.0,0.0,
22,False,True,False,False,False,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63250,63250,1.0,1.0,0.0,0.0,0.0,0.0,
4,False,True,True,False,False,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0,0.0,0.0,
