,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier
37,False,False,False,True,True,False,False,True,0.6906817505209883,0.8721359940872138,0.8868214978917074,31625,126500,0.25,0.8868214978917074,0.18145424356622541,0.19613974737071904
10,False,True,False,True,True,False,False,True,0.7031828275351593,0.866977120874671,0.8838580040187541,31625,63250,0.5,0.8838580040187541,0.1637942933395118,0.18067517648359488
43,False,False,False,True,False,False,False,True,0.6564816556914392,0.81356048166393,0.8259123093681916,63250,126500,0.5,0.8259123093681916,0.1570788259724908,0.16943065367675236
40,False,False,False,True,False,True,False,True,0.6173648134044174,0.7735690235690237,0.7776147558163906,31625,126500,0.25,0.7776147558163906,0.15620421016460628,0.1602499424119732
31,False,False,True,False,False,True,False,True,0.5453479608073025,0.6544006371963361,0.6808343171979536,31625,126500,0.25,0.6808343171979536,0.1090526763890336,0.1354863563906511
34,False,False,True,False,False,False,False,True,0.6233324096433236,0.721805081532044,0.7350582538962022,63250,126500,0.5,0.7350582538962022,0.09847267188872044,0.11172584425287857
1,False,True,True,False,True,False,False,True,0.6764999615886919,0.7750497677504976,0.7814921408014169,31625,63250,0.5,0.7814921408014169,0.09854980616180575,0.10499217921272508
32,False,False,True,False,False,True,False,False,0.7155129735868837,0.7775729559570064,0.8194610196774998,80853,323412,0.25,0.8194610196774998,0.06205998237012267,0.10394804609061614
35,False,False,True,False,False,False,False,False,0.7681124509373273,0.8254815470346659,0.868005195367464,161706,323412,0.5,0.868005195367464,0.057369096097338645,0.09989274443013674
28,False,False,True,False,True,False,False,True,0.6840003014545181,0.7763186534136255,0.7824070719513079,31625,126500,0.25,0.7824070719513079,0.09231835195910743,0.09840677049678981
2,False,True,True,False,True,False,False,False,0.8154567255286679,0.8728354403484543,0.9115819576238137,80853,161706,0.5,0.9115819576238137,0.0573787148197864,0.09612523209514579
29,False,False,True,False,True,False,False,False,0.8168421052631579,0.8721146837288409,0.9112871182220339,80853,323412,0.25,0.9112871182220339,0.05527257846568301,0.09444501295887597
30,False,False,True,False,False,True,True,False,0.8285407148615964,0.8760892296967584,0.9227445997458704,49228,196912,0.25,0.9227445997458704,0.04754851483516198,0.094203884884274
33,False,False,True,False,False,False,True,False,0.8660513626148241,0.9045520663985626,0.9560352716080193,98456,196912,0.5,0.9560352716080193,0.03850070378373849,0.0899839089931952
16,False,True,False,True,False,False,False,True,0.8571428571428572,0.9359003693655411,0.9447880721401133,63250,63250,1.0,0.9447880721401133,0.0787575122226839,0.08764521499725608
0,False,True,True,False,True,False,True,False,0.9030111746140066,0.9368818105616094,0.9892743966848135,49228,98456,0.5,0.9892743966848135,0.033870635947602756,0.08626322207080694
27,False,False,True,False,True,False,True,False,0.90498893240252,0.9349865951742627,0.9892543145555194,49228,196912,0.25,0.9892543145555194,0.02999766277174276,0.08426538215299939
19,False,True,False,False,True,False,False,True,0.7914307156989835,0.8631635823314873,0.8694948404936941,63250,63250,1.0,0.8694948404936941,0.07173286663250378,0.07806412479471059
52,False,False,False,False,False,False,False,True,0.7809655684830882,0.8425057571004237,0.8542867106158981,126500,126500,1.0,0.8542867106158981,0.06154018861733557,0.07332114213280994
49,False,False,False,False,False,True,False,True,0.7644740830554714,0.8180095101918665,0.8344349084212949,63250,126500,0.5,0.8344349084212949,0.05353542713639514,0.06996082536582349
46,False,False,False,False,True,False,False,True,0.7978257176830303,0.8578160764777164,0.863097643097643,63250,126500,0.5,0.863097643097643,0.05999035879468606,0.06527192541461269
44,False,False,False,True,False,False,False,False,0.8776540685197809,0.931806066917079,0.936889064643294,161706,323412,0.5,0.936889064643294,0.05415199839729812,0.05923499612351313
38,False,False,False,True,True,False,False,False,0.8938693467336682,0.9451966473243069,0.9522584475337653,80853,323412,0.25,0.9522584475337653,0.051327300590638614,0.05838910080009707
11,False,True,False,True,True,False,False,False,0.894017094017094,0.9430606755006475,0.9515631222620471,80853,161706,0.5,0.9515631222620471,0.04904358148355359,0.05754602824495314
41,False,False,False,True,False,True,False,False,0.8636432274626265,0.9183086119105601,0.9206520142934065,80853,323412,0.25,0.9206520142934065,0.054665384447933674,0.057008786830780034
53,False,False,False,False,False,False,False,False,0.885429292929293,0.9142699045487128,0.9337559823481882,323412,323412,1.0,0.9337559823481882,0.028840611619419865,0.048326689418895286
20,False,True,False,False,True,False,False,False,0.9002941065094733,0.9277624152430016,0.9473973905102641,161706,161706,1.0,0.9473973905102641,0.027468308733528346,0.04710328400079078
50,False,False,False,False,False,True,False,False,0.872556863641559,0.9021640664318068,0.9191201185126169,161706,323412,0.5,0.9191201185126169,0.029607202790247755,0.046563254871057835
8,False,True,True,False,False,False,False,False,0.9130859247881493,0.9391078744910673,0.9579438658069768,161706,161706,1.0,0.9579438658069768,0.026021949702917935,0.04485794101882745
47,False,False,False,False,True,False,False,False,0.9032070560287092,0.9279117431239088,0.9471913215980715,161706,323412,0.5,0.9471913215980715,0.024704687095199573,0.0439842655693623
45,False,False,False,False,True,False,True,False,0.9508285678507326,0.9682858622475402,0.9945473482141034,98456,196912,0.5,0.9945473482141034,0.017457294396807654,0.043718780363370846
6,False,True,True,False,False,False,True,False,0.9503875326397812,0.967626711555437,0.9939168569754047,98456,98456,1.0,0.9939168569754047,0.01723917891565585,0.04352932433562351
18,False,True,False,False,True,False,True,False,0.9512200169705499,0.967449492359758,0.9944470246148255,98456,98456,1.0,0.9944470246148255,0.016229475389208048,0.04322700764427556
51,False,False,False,False,False,False,True,False,0.9363473872358322,0.9551589572818564,0.9794678678801932,196912,196912,1.0,0.9794678678801932,0.018811570046024184,0.043120480644361026
48,False,False,False,False,False,True,True,False,0.9207165437302424,0.9430553248047848,0.963069229823339,98456,196912,0.5,0.963069229823339,0.022338781074542458,0.042352686093096614
7,False,True,True,False,False,False,False,True,0.8606619943099022,0.8994839194777675,0.9026597015944552,63250,63250,1.0,0.9026597015944552,0.03882192516786531,0.04199770728455299
25,False,True,False,False,False,False,False,True,0.9011391907817207,0.9320498853677177,0.9350585937499999,126500,63250,2.0,0.9350585937499999,0.030910694585997045,0.03391940296827922
17,False,True,False,True,False,False,False,False,0.9473382442757606,0.9722968040484528,0.976874613959234,161706,161706,1.0,0.976874613959234,0.024958559772692124,0.029536369683473396
24,False,True,False,False,False,False,True,False,0.9754111842105263,0.984081160488519,0.9974077726159132,196912,98456,2.0,0.9974077726159132,0.008669976277992708,0.021996588405386874
26,False,True,False,False,False,False,False,False,0.951754139243592,0.9639832363795583,0.9733750295902222,323412,161706,2.0,0.9733750295902222,0.012229097135966316,0.021620890346630173
3,False,True,True,False,False,True,True,False,0.9978403488040422,1.0,1.0,49228,98456,0.5,1.0,0.0021596511959578457,0.0021596511959578457
9,False,True,False,True,True,False,True,False,0.9975564062881812,0.998778899381309,0.9996337443535587,49228,98456,0.5,0.9996337443535587,0.00122249309312783,0.0020773380653774653
42,False,False,False,True,False,False,True,False,0.9951215562438006,0.9966426664509344,0.9970475227502528,98456,196912,0.5,0.9970475227502528,0.0015211102071337468,0.0019259665064521592
39,False,False,False,True,False,True,True,False,0.992950328174378,0.9947737309079123,0.9948576750212577,49228,196912,0.25,0.9948576750212577,0.0018234027335343184,0.001907346846879654
36,False,False,False,True,True,False,True,False,0.9973381383349031,0.9986084963575346,0.9988539620170269,49228,196912,0.25,0.9988539620170269,0.0012703580226314237,0.0015158236821237736
5,False,True,True,False,False,True,False,False,0.9987602281180262,0.9999256302833487,0.9999256302833487,80853,161706,0.5,0.9999256302833487,0.00116540216532246,0.00116540216532246
15,False,True,False,True,False,False,True,False,0.9987514096987272,0.9991744689419108,0.9995771670190275,98456,98456,1.0,0.9995771670190275,0.0004230592431835323,0.0008257573203003243
21,False,True,False,False,False,True,True,False,0.9992947387510832,1.0,1.0,98456,98456,1.0,1.0,0.0007052612489167887,0.0007052612489167887
23,False,True,False,False,False,True,False,False,0.9993574694180156,1.0,1.0,161706,161706,1.0,1.0,0.0006425305819843796,0.0006425305819843796
12,False,True,False,True,False,True,True,False,0.9999596334719251,1.0,1.0,49228,98456,0.5,1.0,4.036652807493102e-05,4.036652807493102e-05
14,False,True,False,True,False,True,False,False,1.0,1.0,1.0,80853,161706,0.5,1.0,0.0,0.0
4,False,True,True,False,False,True,False,True,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0
13,False,True,False,True,False,True,False,True,1.0,1.0,1.0,31625,63250,0.5,1.0,0.0,0.0
22,False,True,False,False,False,True,False,True,1.0,1.0,1.0,63250,63250,1.0,1.0,0.0,0.0
