,run,accuracy,f1,precision,recall
0,Baseline only,0.6990908750795016,0.7940912931056553,0.6990908750795016,0.6990908750795016
1,Advanced only,0.7110815967675559,0.7754401779612963,0.7110815967675559,0.7110815967675559
2,Fourier only,0.7086871936847619,0.7896023886404474,0.7086871936847619,0.7086871936847619
3,Baseline and Fourier,0.7351004526918329,0.810029110714621,0.7351004526918329,0.7351004526918329
4,Advanced and Fourier,0.7439298140596357,0.8070150705595421,0.7439298140596357,0.7439298140596357
5,Baseline and Advanced,0.7144861386509035,0.7798849165717253,0.7144861386509035,0.7144861386509035
6,"Baseline, Advanced, and Fourier",0.7439485203337199,0.8073794714474685,0.7439485203337199,0.7439485203337199
