,run,accuracy,f1,precision,recall
0,Baseline only,0.858000673425867,0.8921595090281427,0.858000673425867,0.858000673425867
1,Advanced only,0.8318305959818924,0.8710038454915916,0.8318305959818924,0.8318305959818924
2,Fourier only,0.8481611732575106,0.8864866376718362,0.8481611732575106,0.8481611732575106
3,Baseline and Fourier,0.9070485240749747,0.9313986718760786,0.9070485240749747,0.9070485240749747
4,Advanced and Fourier,0.8988551760260391,0.9244674163581756,0.8988551760260391,0.8988551760260391
5,Baseline and Advanced,0.8655954207041041,0.8979794681017224,0.8655954207041041,0.8655954207041041
6,"Baseline, Advanced, and Fourier",0.9064686295783606,0.9304086404632,0.9064686295783606,0.9064686295783606
