,run,accuracy,f1,precision,recall
0,Baseline only,0.8741254816865577,0.9061938020158086,0.8741254816865577,0.8741254816865577
1,Advanced only,0.850181450858618,0.8877520987792744,0.850181450858618,0.850181450858618
2,Fourier only,0.8462718395749934,0.8843675249753763,0.8462718395749934,0.8462718395749934
3,Baseline and Fourier,0.9104904785064911,0.934064571247468,0.9104904785064911,0.9104904785064911
4,Advanced and Fourier,0.9080399566014441,0.9318773903885594,0.9080399566014441,0.9080399566014441
5,Baseline and Advanced,0.8847319390923716,0.9141352210021737,0.8847319390923716,0.8847319390923716
6,"Baseline, Advanced, and Fourier",0.9150735156571514,0.9372737572190443,0.9150735156571514,0.9150735156571514
