,Extremities_Measured_Separately,Algorithm,Accuracy,Precision,Recall,F1
0,NO,Logistic Regression,0.7146103462103996,0.6901694106418516,0.7756771252346474,0.7304292929292929
1,YES,Logistic Regression,0.8037027135409704,0.801762114537445,0.8053097345132744,0.8035320088300221
2,NO,Random Forest,0.721561288597781,0.7005360623781677,0.7709841780638241,0.7340737903740585
3,YES,Random Forest,0.8132602593236198,0.8182314410480349,0.8039688924644677,0.8110374678750168
