,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline,advanced-only,fourier-only,baseline-and-fourier,advanced-and-fourier,advanced,fourier,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,advanced-f1_score,fourier-f1_score,baseline-f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
24,False,True,False,False,False,False,True,False,0.8366971345193291,0.910651868193634,0.9594664153508181,0.964018738668074,0.9712656402859414,0.9098454279398599,0.9728618088223397,196912,98456,2.0,0.9728618088223397,0.9098454279398599,0.9728618088223397,0.8366971345193291,0.07314829342053075,0.1361646743030106,0.16330286548067086,0.06301638088247985,83.38168096574373
46,False,False,False,False,True,False,False,True,0.5300595826527453,0.6597897998495439,0.5503568097518408,0.5731425948850609,0.6577401052855244,0.6658508525067958,0.6603449477901654,63250,126500,0.5,0.6658508525067958,0.6658508525067958,0.6603449477901654,0.5300595826527453,0.13579126985405043,0.13028536513742006,0.46994041734725467,-0.005505904716630372,27.72380504593795
32,False,False,True,False,False,True,False,False,0.00014204789618093989,0.12817653553478794,0.0,0.0,0.1169135278245371,0.13388179879019843,0.12452577089333913,80853,323412,0.25,0.13388179879019843,0.13388179879019843,0.12452577089333913,0.00014204789618093989,0.1337397508940175,0.12438372299715819,0.9998579521038191,-0.009356027896859298,12.440139395345126
52,False,False,False,False,False,False,False,True,0.5113281432658436,0.6331943587538088,0.5900817723475085,0.5924607133230639,0.6228297982149418,0.635797954811707,0.6250099914700984,126500,126500,1.0,0.635797954811707,0.635797954811707,0.6250099914700984,0.5113281432658436,0.12446981154586334,0.11368184820425475,0.48867185673415636,-0.010787963341608586,23.263432636371185
16,False,True,False,True,False,False,False,True,0.6933570882145897,0.7784373340939378,0.6683569857927547,0.708069493821131,0.7897023824511282,0.8048723632482453,0.8066842627173036,63250,63250,1.0,0.8066842627173036,0.8048723632482453,0.8066842627173036,0.6933570882145897,0.11151527503365555,0.1133271745027139,0.30664291178541025,0.0018118994690583534,36.95737620115629
51,False,False,False,False,False,False,True,False,0.7362158946072275,0.783547368180898,0.8041720199933051,0.8222584264915787,0.8393906169535903,0.7845114851850956,0.8405258262178033,196912,196912,1.0,0.8405258262178033,0.7845114851850956,0.8405258262178033,0.7362158946072275,0.04829559057786814,0.10430993161057578,0.2637841053927725,0.05601434103270764,39.5436758614622
36,False,False,False,True,True,False,True,False,0.8874416719701927,0.9470945591747613,0.9553286769692699,0.9642155169861687,0.9795772316859627,0.9513085824971885,0.9804165839284023,49228,196912,0.25,0.9804165839284023,0.9513085824971885,0.9804165839284023,0.8874416719701927,0.06386691052699578,0.0929749119582095,0.11255832802980725,0.029108001431213726,82.60153965114714
9,False,True,False,True,True,False,True,False,0.8874210276862893,0.9469928631120146,0.9536146802443806,0.9629187672845857,0.9794017755347354,0.9512590511806917,0.9802619924336361,49228,98456,0.5,0.9802619924336361,0.9512590511806917,0.9802619924336361,0.8874210276862893,0.06383802349440237,0.09284096474734682,0.11257897231371072,0.029002941252944447,82.46741184369466
20,False,True,False,False,True,False,False,False,0.7272231902173679,0.7177187002099747,0.783478587632381,0.7863713265287411,0.8064407801882394,0.724398255348756,0.8114134443352582,161706,161706,1.0,0.8114134443352582,0.724398255348756,0.8114134443352582,0.7272231902173679,-0.002824934868611906,0.08419025411789027,0.2727768097826321,0.08701518898650218,30.864153805808876
47,False,False,False,False,True,False,False,False,0.7276970919666241,0.7176599763342681,0.7685525836506371,0.7857585322300003,0.8064082773683312,0.7242846441894448,0.8114501115320567,161706,323412,0.5,0.8114501115320567,0.7242846441894448,0.8114501115320567,0.7276970919666241,-0.003412447777179306,0.08375301956543257,0.27230290803337587,0.08716546734261188,30.757298983809257
26,False,True,False,False,False,False,False,False,0.8160751519154935,0.8493276761838087,0.8800478214063596,0.8840715299783133,0.8961967738221911,0.8540343331299771,0.8977485840835807,323412,161706,2.0,0.8977485840835807,0.8540343331299771,0.8977485840835807,0.8160751519154935,0.037959181214483606,0.0816734321680872,0.1839248480845065,0.043714250953603595,44.40587175614323
25,False,True,False,False,False,False,False,True,0.7500280638126693,0.8303727317742726,0.7905781825465736,0.7898504365721827,0.82976544960054,0.8341033089086068,0.8316634430262787,126500,63250,2.0,0.8341033089086068,0.8341033089086068,0.8316634430262787,0.7500280638126693,0.08407524509593756,0.08163537921360942,0.2499719361873307,-0.0024398658823281405,32.6578176969559
48,False,False,False,False,False,True,True,False,0.6956253659524796,0.7795294011655899,0.6998694997345825,0.7393598342557042,0.7702819755502565,0.7799750106405884,0.7725809660292421,98456,196912,0.5,0.7799750106405884,0.7799750106405884,0.7725809660292421,0.6956253659524796,0.0843496446881088,0.0769556000767625,0.3043746340475204,-0.007394044611346295,25.2831844274999
7,False,True,True,False,False,False,False,True,0.7294845363766898,0.7771892902305295,0.6666589046286908,0.7621060908010052,0.7990908172735127,0.7807914165648647,0.8016429004654193,63250,63250,1.0,0.8016429004654193,0.7807914165648647,0.8016429004654193,0.7294845363766898,0.051306880188174975,0.07215836408872955,0.27051546362331025,0.02085148390055458,26.674395290470073
15,False,True,False,True,False,False,True,False,0.9413455757777927,0.971432391062128,0.9696877875845904,0.9800965329148881,0.9895033805965382,0.9744113545149853,0.9900921691969713,98456,98456,1.0,0.9900921691969713,0.9744113545149853,0.9900921691969713,0.9413455757777927,0.03306577873719263,0.04874659341917864,0.058654424222207346,0.01568081468198601,83.1081270775181
53,False,False,False,False,False,False,False,False,0.6831420479208005,0.6858526943282071,0.7179594022893585,0.7341343131242795,0.726914031509375,0.6876860449519953,0.7287214233564947,323412,323412,1.0,0.7287214233564947,0.6876860449519953,0.7287214233564947,0.6831420479208005,0.004543997031194791,0.045579375435694236,0.31685795207919953,0.041035378404499445,14.384797710332212
11,False,True,False,True,True,False,False,False,0.7115493524451436,0.7131796089842708,0.6173653332463882,0.6973636294398504,0.7424779400339442,0.7311043860001135,0.7566598321194474,80853,161706,0.5,0.7566598321194474,0.7311043860001135,0.7566598321194474,0.7115493524451436,0.019555033554969903,0.045110479674303816,0.2884506475548564,0.025555446119333913,15.63889006895881
38,False,False,False,True,True,False,False,False,0.7117191068198103,0.7131167379416264,0.616866986542554,0.6993949329013982,0.7426301615258672,0.7310624235136097,0.7565937786270015,80853,323412,0.25,0.7565937786270015,0.7310624235136097,0.7565937786270015,0.7117191068198103,0.019343316693799406,0.04487467180719118,0.2882808931801897,0.025531355113391774,15.56630108646927
50,False,False,False,False,False,True,False,False,0.6475115558719968,0.6894471376530515,0.646864942015152,0.6731785863548743,0.6751150282247915,0.6853259691145693,0.6762654133329205,161706,323412,0.5,0.6853259691145693,0.6853259691145693,0.6762654133329205,0.6475115558719968,0.03781441324257251,0.028753857460923626,0.3524884441280032,-0.009060555781648882,8.157390104534011
17,False,True,False,True,False,False,False,False,0.843564542265337,0.8482982023568413,0.8030506951335354,0.840261486070129,0.8627512904983057,0.8579529328559765,0.8713464646618567,161706,161706,1.0,0.8713464646618567,0.8579529328559765,0.8713464646618567,0.843564542265337,0.014388390590639566,0.027781922396519776,0.15643545773466305,0.01339353180588021,17.759351235857217
3,False,True,True,False,False,True,True,False,0.9777731345277877,0.995832082181833,0.988947884648917,0.9958878655983049,0.9978174970601721,0.9967999239177299,0.9987011586429453,49228,98456,0.5,0.9987011586429453,0.9967999239177299,0.9987011586429453,0.9777731345277877,0.019026789389942178,0.020928024115157595,0.02222686547221231,0.0019012347252154171,94.15643488426875
5,False,True,True,False,False,True,False,False,0.9860538917478023,0.9971200185665282,0.993265964667705,0.9975554984283432,0.9986463124403712,0.9979138078359978,0.9991657109361032,80853,161706,0.5,0.9991657109361032,0.9979138078359978,0.9991657109361032,0.9860538917478023,0.011859916088195477,0.013111819188300844,0.013946108252197664,0.001251903100105367,94.01776431955237
21,False,True,False,False,False,True,True,False,0.9883417667458216,0.9976337598724299,0.994436415143065,0.9979664893656914,0.9988476461464545,0.9983115266634033,0.9992590245730438,98456,98456,1.0,0.9992590245730438,0.9983115266634033,0.9992590245730438,0.9883417667458216,0.009969759917581644,0.010917257827222193,0.011658233254178363,0.0009474979096405489,93.64418766719562
23,False,True,False,False,False,True,False,False,0.9926753124650513,0.9984901479219195,0.9966129183792202,0.9988013392235441,0.9992458000349926,0.9989188481128909,0.9995271127208727,161706,161706,1.0,0.9995271127208727,0.9989188481128909,0.9995271127208727,0.9926753124650513,0.0062435356478396375,0.006851800255821439,0.007324687534948748,0.000608264607981801,93.54392556855166
12,False,True,False,True,False,True,True,False,0.9974975458989743,0.9978009106326982,0.9990662725516066,0.9998375197385491,0.9995228789095594,0.9994011182718614,0.9997563014676533,49228,98456,0.5,0.9997563014676533,0.9994011182718614,0.9997563014676533,0.9974975458989743,0.0019035723728870746,0.0022587555686789385,0.002502454101025675,0.00035518319579186386,90.26161829514265
14,False,True,False,True,False,True,False,False,0.9983515773045997,0.9985858639638174,0.9991535143525141,0.9998268902945806,0.9996785339621815,0.9995178885193363,0.9998454284912575,80853,161706,0.5,0.9998454284912575,0.9995178885193363,0.9998454284912575,0.9983515773045997,0.0011663112147366483,0.0014938511866577908,0.0016484226954003312,0.0003275399719211425,90.62306596640241
13,False,True,False,True,False,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31625,63250,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
22,False,True,False,False,False,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63250,63250,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
4,False,True,True,False,False,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31625,63250,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
