,MeasureName,Accuracy,F1,Precision,Recall,AUC
0,Baseline,0.6450276349862791,0.7272014400028515,0.5910368203018628,0.9448869951834012,0.6515106728624405
1,Advanced Only,0.822695474046303,0.8280700702351417,0.8048023545524747,0.8527232308262319,0.9268077743802615
2,Fourier Only,0.6841726896764967,0.7443033538397993,0.6258748986959405,0.9180097567000124,0.7480026417569964
3,Baseline and Advanced,0.7508754299849264,0.6688586576795035,1.0,0.502470050636038,0.9174824108657538
4,Baseline and Fourier,0.7058709851969235,0.7646207331708464,0.6379363735832697,0.954087933802643,0.7659621037388645
5,Advanced and Fourier,0.815552892977235,0.8346809115032598,0.7571426775770831,0.9299123132024206,0.914225113930555
6,"Baseline, Advanced and Fourier",0.8176632010203687,0.8421700612905816,0.7432094099863007,0.9715326664196616,0.9115085173810076
