,MeasureName,Accuracy,F1,Precision,Recall,AUC
0,Baseline,0.6454695603118394,0.7294708289464812,0.5982815092092391,0.9343528286344431,0.6463055886353358
1,Advanced Only,0.8210457631841878,0.8395717689209526,0.7753880091388955,0.9153402598782983,0.924534346572295
2,Fourier Only,0.6846126135923386,0.7469984624276196,0.6334566302940633,0.9101320649430021,0.7465988147016063
3,Baseline and Advanced,0.8125429051091914,0.8198657157039476,0.8062999409059377,0.8338957829564478,0.9100665931747369
4,Baseline and Fourier,0.711711650478838,0.7743582923261073,0.6457337036084075,0.9669704780378923,0.7675195087062658
5,Advanced and Fourier,0.8180211653877263,0.847688071724389,0.7412105294574106,0.9898891929955093,0.9092787859645777
6,"Baseline, Advanced and Fourier",0.8371067173258477,0.8619120053469773,0.7609624580323533,0.9937421943507029,0.9181343369889023
